,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Type
2732,7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4,6,White Wine
2607,5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,6,White Wine
1653,4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,6,White Wine
3264,6.9,0.26,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,6,White Wine
4931,6.4,0.45,0.07,1.1,0.03,10,131,0.9905,2.97,0.28,10.8,5,White Wine
4859,8.4,0.32,0.35,11.7,0.029,3,46,0.99439,3.02,0.34,11.8,6,White Wine
5827,7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,6,White Wine
1033,7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,7,White Wine
4373,6.7,0.46,0.27,5.2,0.039,35,96,0.99129,3.16,0.44,12.4,7,White Wine
5874,6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,6,White Wine
5924,6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6,Red Wine
3468,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,White Wine
6458,6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4,White Wine
705,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5,Red Wine
2599,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,Red Wine
2135,6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,7,White Wine
2222,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,Red Wine
2897,7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,5,White Wine
1701,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,Red Wine
537,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5,White Wine
2893,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,White Wine
6216,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6,White Wine
6036,8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5,Red Wine
2163,7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,6,White Wine
5072,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5,White Wine
4851,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,Red Wine
2046,6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,5,Red Wine
1871,7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,5,Red Wine
2496,6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7,White Wine
99,7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6,White Wine
2008,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,8,White Wine
755,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6,Red Wine
797,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7,White Wine
659,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8,White Wine
3219,7,0.23,0.32,1.8,0.048,25,113,0.9915,3.11,0.47,11.1,6,White Wine
423,7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.566666667,6,Red Wine
3337,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6,White Wine
2745,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6,Red Wine
4735,9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,6,Red Wine
544,5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,6,White Wine
714,6.9,0.29,0.3,8.2,0.026,35,112,0.99144,3,0.37,12.3,6,White Wine
2292,7.6,0.35,0.46,14.7,0.047,33,151,0.99709,3.03,0.53,10.3,5,White Wine
151,6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,5,White Wine
2723,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6,Red Wine
3531,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5,White Wine
2930,6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6,White Wine
1207,8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12,7,White Wine
6172,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,White Wine
802,6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,6,Red Wine
2176,7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6,White Wine
2176,7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6,White Wine
1956,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5,White Wine
6021,6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6,Red Wine
3622,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5,Red Wine
3560,9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5,White Wine
756,8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6,White Wine
4369,6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6,Red Wine
6479,7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5,White Wine
4484,10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6,Red Wine
1641,7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,5,Red Wine
3114,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,White Wine
5562,7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6,White Wine
4984,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,7,White Wine
4353,7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6,White Wine
5441,6,0.19,0.37,9.7,0.032,17,50,0.9932,3.08,0.66,12,6,White Wine
4071,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5,Red Wine
4009,6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5,White Wine
2105,7.3,0.21,0.49,1.8,0.038,44,152,0.9912,3.32,0.44,12.6,7,White Wine
6435,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,5,Red Wine
3942,6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6,White Wine
